id,name,team,position,age,height_cm,total_points,avg_per_match,attack_pts,attack_eff,attack_avg,block_pts,block_eff,block_avg,serve_pts,serve_eff,serve_avg
157309,Julio Cesar Cardenas Morales,CUBA,PUNTA RECEPTOR,26,200,37,3.08,30,42.86%,2.50,5,26.32%,0.42,2,4.88%,0.17
157317,Julio Alberto Gomez Galves,CUBA,ARMADOR,27,194,7,0.58,1,33.33%,0.08,0,0.00%,0.00,6,7.23%,0.50
157318,Marlon Yant Herrera,CUBA,PUNTA RECEPTOR,25,204,124,15.50,98,45.79%,12.25,14,26.42%,1.75,12,10.08%,1.50
157321,Sharone Vernon-Evans,-,OPUESTO,28,206,69,8.62,58,44.27%,7.25,5,10.42%,0.62,6,9.09%,0.75
157322,Daenan Gyimah,CANADÁ,CENTRAL,28,200,16,8.00,12,75.00%,6.00,4,16.00%,2.00,0,0.00%,0.00
157324,Pearson Eshenko,CANADÁ,CENTRAL,28,204,42,3.50,32,60.38%,2.67,7,12.50%,0.58,3,3.61%,0.25
157327,Eric Loeppky,-,PUNTA RECEPTOR,28,197,64,16.00,55,39.57%,13.75,5,16.13%,1.25,4,5.00%,1.00
157353,Victor Ramon Andreu Flores,-,PUNTA RECEPTOR,25,188,6,1.50,5,41.67%,1.25,0,0.00%,0.00,1,11.11%,0.25
157359,Lazaro Yudiel Arrechea Najarro,CUBA,LÍBERO,26,190,0,0.00,0,-,-,0,-,-,0,-,-
157588,Max Elgert,CANADÁ,ARMADOR,28,191,6,0.50,2,28.57%,0.17,2,6.45%,0.17,2,2.47%,0.17
157872,Rok Bračko,ESLOVENIA,PUNTA RECEPTOR,22,194,41,2.73,31,39.74%,2.07,2,15.38%,0.13,8,10.53%,0.53
158881,Kamil Rychlicki,-,OPUESTO,29,204,72,9.00,59,44.36%,7.38,7,25.00%,0.88,6,9.84%,0.75
158933,Yurii Synytsia,UCRANIA,ARMADOR,33,194,23,1.77,6,54.55%,0.46,11,18.33%,0.85,6,4.35%,0.46
159747,Michael Marshman,ESTADOS UNIDOS,CENTRAL,32,201,0,-,0,-,-,0,-,-,0,-,-
160142,Michiel Fransen,BÉLGICA,PUNTA RECEPTOR,23,202,5,0.42,5,45.45%,0.42,0,0.00%,0.00,0,0.00%,0.00
160148,Simon Plaskie,BÉLGICA,PUNTA RECEPTOR,25,193,80,6.67,68,44.74%,5.67,1,3.23%,0.08,11,10.58%,0.92
160149,Seppe Rotty,BÉLGICA,PUNTA RECEPTOR,25,190,70,6.36,60,40.27%,5.45,9,21.43%,0.82,1,1.37%,0.09
160487,Lennert Van Elsen,-,CENTRAL,25,203,6,1.50,4,36.36%,1.00,2,14.29%,0.50,0,0.00%,0.00
161930,Henrique Dantas Nóbrega Honorato,BRASIL,PUNTA RECEPTOR,29,190,27,2.25,21,47.73%,1.75,4,25.00%,0.33,2,3.03%,0.17
161933,Lucas Adriano Araújo Barreto,BRASIL,CENTRAL,29,207,5,0.71,3,75.00%,0.43,2,40.00%,0.29,0,0.00%,0.00
161939,Maique Reis Nascimento,BRASIL,LÍBERO,29,187,0,0.00,0,-,-,0,-,-,0,-,-
161942,Matheus Silva Gonçalves,BRASIL,ARMADOR,29,185,0,0.00,0,-,-,0,0.00%,0.00,0,0.00%,0.00
162081,Anton Brehme,ALEMANIA,CENTRAL,27,206,45,11.25,33,63.46%,8.25,9,20.93%,2.25,3,6.67%,0.75
